,id,name,owner,address,city,postal_code,region,country,country_code,cadastral_id,power_installed,square_ft_meters_global,square_ft_meters_it,date_of_building_manufacturing,date_of_land_buying_act,main_source,secondary_source,last_update,comment_main_source,comment_secondary_source
0,CYLLENE_-_MONTIGNY-LE-BRETONNEUX,CYLLENE - MONTIGNY-LE-BRETONNEUX,,8 Av. des 3 Peuples,,78180 Montigny-le-Bretonneux,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:51.610877+02:00,scraped from website with selenium,
0,CYLLENE_-_NANTERRE,CYLLENE - NANTERRE,,105 Rue Veuve Lacroix,,92000 Nanterre,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:51.936237+02:00,scraped from website with selenium,
0,CYRÈS_GROUPE,CYRÈS GROUPE,,9 Rue de Suède,Tours,37100 Tours,Centre-Val de Loire,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:52.248569+02:00,scraped from website with selenium,
0,D-LAKE,D-LAKE,,3 Esplanade Augustin,Annecy,74960 Annecy,Auvergne-Rhône-Alpes,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:52.626763+02:00,scraped from website with selenium,
0,DATA_17,DATA 17,,350 Rue de la Prairie,Fossemagne,17400 Saint-Jean-d'Angély,Nouvelle-Aquitaine,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:53.258698+02:00,scraped from website with selenium,
0,DATA11,DATA11,,Glutz-Blotzheim-Strasse 1,,4500 Solothurn,Soleure,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:53.660393+02:00,scraped from website with selenium,
0,DATA4_-_DC01,DATA4 - DC01,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:54.360715+02:00,scraped from website with selenium,
0,DATA4_-_DC02,DATA4 - DC02,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:55.119247+02:00,scraped from website with selenium,
0,DATA4_-_DC03,DATA4 - DC03,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:55.900328+02:00,scraped from website with selenium,
0,DATA4_-_DC04,DATA4 - DC04,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:56.745583+02:00,scraped from website with selenium,
0,DATA4_-_DC05,DATA4 - DC05,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:57.565223+02:00,scraped from website with selenium,
0,DATA4_-_DC06,DATA4 - DC06,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:58.407207+02:00,scraped from website with selenium,
0,DATA4_-_DC07,DATA4 - DC07,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:59.256899+02:00,scraped from website with selenium,
0,DATA4_-_DC08,DATA4 - DC08,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:00.038200+02:00,scraped from website with selenium,
0,DATA4_-_DC09,DATA4 - DC09,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:00.878410+02:00,scraped from website with selenium,
0,DATA4_-_DC10,DATA4 - DC10,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:01.613748+02:00,scraped from website with selenium,
0,DATA4_-_DC11,DATA4 - DC11,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:02.352407+02:00,scraped from website with selenium,
0,DATA4_-_DC12,DATA4 - DC12,,Route de Nozay,Marcoussis,91460 Marcoussis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:03.101844+02:00,scraped from website with selenium,
0,DATA4_-_LUXEMBOURG_1,DATA4 - LUXEMBOURG 1,,"7, rue de Bitbourg",Luxembourg,1273 Luxembourg,,Luxemburg,LU,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:03.607735+02:00,scraped from website with selenium,
0,DATA4_-_LUXEMBOURG_2,DATA4 - LUXEMBOURG 2,,"7, rue de Bitbourg",Luxembourg,1273 Luxembourg,,Luxemburg,LU,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:03.941018+02:00,scraped from website with selenium,
0,DATACAMPUS_-_CASSIN_1,DATACAMPUS - CASSIN 1,,Technopole du Futuroscope 86360 Chasseneuil,Chasseneuil-du-Poitou,86360 Chasseneuil,Nouvelle-Aquitaine,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:04.286394+02:00,scraped from website with selenium,
0,DATACENTER_UNITED_-_ANTWERP_DC,DATACENTER UNITED - ANTWERP DC,,Haïfastraat 6,Anvers,2030 Antwerpen,Anvers,Belgium,BE,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:04.616282+02:00,scraped from website with selenium,
0,DATACENTER_UNITED_-_BRUSSELS_DC,DATACENTER UNITED - BRUSSELS DC,,Excelsiorlaan 15,,"1930 Zaventem,",Brabant flamand,Belgium,BE,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:04.976219+02:00,scraped from website with selenium,
0,DATACENTER_UNITED_-_DATACENTER_VLAANDEREN,DATACENTER UNITED - DATACENTER VLAANDEREN,,Noorderlaan 147,Anvers,2030 Antwerpen,Anvers,Belgium,BE,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:05.427763+02:00,scraped from website with selenium,
0,DATAGREX,DATAGREX,,28 Rue de Villeneuve,Saint-Saturnin,72650 Saint-Saturnin,Pays de la Loire,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:05.775425+02:00,scraped from website with selenium,
0,DATAOUEST_1,DATAOUEST 1,,77 Rue Leny Escudero,,50000 Saint-Lô,Normandie,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:06.586654+02:00,scraped from website with selenium,
0,DATAOUEST_2,DATAOUEST 2,,77 Rue Leny Escudero,,50000 Saint-Lô,Normandie,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:07.201240+02:00,scraped from website with selenium,
0,DATAWIRE_-_ZG01,DATAWIRE - ZG01,,Hinterbergstrasse 22,Steinhausen,6330 Cham,Zoug,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:07.591860+02:00,scraped from website with selenium,
0,DATAWIRE_-_ZG02,DATAWIRE - ZG02,,Hinterbergstrasse 22,Steinhausen,6330 Cham,Zoug,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:07.914638+02:00,scraped from website with selenium,
0,DATAXION,DATAXION,,"16 Avenue Jean D'alembert, Za Pissaloup",,78190 Trappes,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:08.275928+02:00,scraped from website with selenium,
0,DC2SCALE_GRENOBLE_ALP1,DC2SCALE GRENOBLE ALP1,,37 Rue Diderot,Grenoble,38000 Grenoble,Auvergne-Rhône-Alpes,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:08.591314+02:00,scraped from website with selenium,
0,DC2SCALE_VÉLIZY_LATÉCOÈRE_PAR3,DC2SCALE VÉLIZY LATÉCOÈRE PAR3,,16 Rue Grange Dame Rose,,78140 Vélizy-Villacoublay,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:41:08.905883+02:00,scraped from website with selenium,
